Orthogroup	Bacillus_subtilis_aa	Rhodococcus_erythropolis_aa
OG0000052	CAB13726.1	ALU71906.1, ALU72134.1, ALU67960.1, ALU67875.1, ALU71045.1, ALU68756.1, ALU72132.1
OG0000053	CAB15415.1, CAB15131.1	ALU68350.1, ALU71253.1, ALU72981.1, ALU72734.1
OG0000053	CAB14632.2	ALU68934.1
OG0000054	CAB14815.1, CAB15453.2	ALU70700.1, ALU72776.1, ALU72971.1, ALU72315.1, ALU73564.1, ALU67849.1, ALU68500.1
OG0000055	CAB15066.1, CAB15069.1	ALU72254.1, ALU72293.1, ALU70013.1, ALU71182.1, ALU70557.1, ALU72551.1
OG0000064	CAB15508.1, CAB12611.1, CAB16050.1, CAB12404.1, CAB12031.1, CAB15246.1	ALU70189.1, ALU71866.1
OG0000065	CAB12209.1, CAB14263.1, CAB13314.1, CAB12889.1	ALU68705.1, ALU71511.1
OG0000066	CAB15600.2, CAB16017.1, CAB12655.1, CAB12442.1, CAB13647.2, CAB15401.1, CAB16007.2, CAB16121.2	ALU71213.1
OG0000067	CAB14331.2, CAB12492.1, CAB14972.1	ALU71720.1, ALU70920.1, ALU69203.1
OG0000068	CAB13276.2, CAB12667.1	ALU70160.1, ALU69623.1, ALU68112.1, ALU69578.1, ALU71340.1, ALU69568.1
OG0000069	CAB12711.3	ALU73006.1, ALU71672.1, ALU70155.1, ALU69538.1, ALU69334.1, ALU68345.1, ALU73670.1
OG0000070	CAB13568.1	ALU73064.1
OG0000070	CAB15449.1	ALU71468.1, ALU71369.1, ALU73048.1, ALU69676.1
OG0000072	CAB15848.2, CAB14659.1	ALU70208.1, ALU70051.1, ALU72967.1, ALU69533.1, ALU71710.1, ALU69873.1
OG0000073	CAB15601.3, CAB15569.1, CAB15582.1	ALU69402.1, ALU73162.1, ALU71764.1, ALU68041.1
OG0000081	CAB12736.1, CAB12256.1, CAB12051.2	ALU70000.1, ALU71147.1, ALU72391.1, ALU70055.1
OG0000082	CAB13655.1	ALU73441.1, ALU70924.1, ALU72607.1
OG0000083	CAB12204.1	ALU71274.1
OG0000083	CAB15647.1, CAB15099.1, CAB16013.1, CAB13311.1	ALU67717.1
OG0000085	CAB14111.1, CAB12738.1, CAB12319.1	ALU67735.1, ALU69826.1, ALU68936.1, ALU72598.1
OG0000086	CAB12350.1	ALU67902.1, ALU72053.1, ALU70459.1, ALU72889.1, ALU72788.1, ALU71915.1
OG0000087	CAB12414.2, CAB12571.2, CAB13316.1	ALU70314.1, ALU69634.1, ALU71026.1
OG0000088	CAB15912.1	ALU70973.1, ALU71249.1
OG0000089	CAB13273.2, CAB12796.1, CAB15129.2	ALU72843.1, ALU69519.1
OG0000090	CAB15983.2, CAB14889.1	ALU71829.1
OG0000090	CAB12847.2	ALU73418.1, ALU68442.1
OG0000091	CAB12856.1	ALU68760.1, ALU73375.1, ALU72747.1
OG0000091	CAB15174.1	ALU68061.1
OG0000092	CAB12922.1	ALU68473.1, ALU70533.1, ALU71928.1, ALU68472.1, ALU68424.1, ALU68132.1, ALU70772.1
OG0000093	CAB12997.1	ALU73514.1, ALU68155.1
OG0000093	CAB13151.1, CAB13002.1	ALU67747.1
OG0000094	CAB13147.2, CAB15290.2, CAB16073.1, CAB14354.2	ALU70018.1, ALU69788.1
OG0000095	CAB13199.2	ALU67893.1, ALU68671.1, ALU68087.1, ALU69905.1, ALU69904.1
OG0000096	CAB13296.2	ALU67763.1
OG0000096	CAB14247.2, CAB13257.1, CAB13685.1	ALU72206.1
OG0000097	CAB15318.2, CAB13309.1, CAB15020.1	ALU72741.1, ALU71767.1, ALU70085.1, ALU73052.1
OG0000098	CAB13799.1	ALU69270.1, ALU71363.1, ALU73463.1, ALU71920.1, ALU72474.1, ALU70658.1
OG0000099	CAB14591.1, CAB14592.2	ALU70791.1
OG0000099	CAB14594.1, CAB15009.2, CAB14385.2	ALU71903.1
OG0000100	CAB14416.2	ALU72768.1, ALU68792.1, ALU72262.1, ALU69707.1, ALU72916.1, ALU70563.1
OG0000101	CAB15168.1, CAB15094.1, CAB14683.1	ALU72678.1, ALU69950.1, ALU72795.1
OG0000102	CAB15084.1	ALU69773.1, ALU70723.1, ALU72771.1, ALU73519.1, ALU67727.1, ALU73325.1
OG0000103	CAB15375.1, CAB15385.1, CAB15387.1, CAB15377.1	ALU70043.1, ALU69291.1, ALU69289.1
OG0000104	CAB15444.1	ALU69739.1, ALU69738.1, ALU70159.1, ALU68537.1, ALU67769.1
OG0000111	CAB11862.1	ALU73135.1, ALU68935.1, ALU72194.1, ALU69471.1, ALU72481.1
OG0000112	CAB12015.1, CAB12149.2	ALU67684.1, ALU70773.1
OG0000113	CAB16036.2, CAB12062.1	ALU70631.1, ALU72789.1, ALU67768.1, ALU68978.1, ALU73608.1
OG0000114	CAB16014.1, CAB12071.1, CAB12792.1	ALU67725.1, ALU70093.1, ALU69176.1
OG0000116	CAB12160.2	ALU67760.1, ALU73245.1, ALU72695.1, ALU70489.1, ALU68577.1
OG0000117	CAB12280.2, CAB13520.1, CAB13218.1	ALU72594.1, ALU68405.1, ALU73506.1, ALU72297.1
OG0000119	CAB13804.1	ALU70435.1, ALU70708.1
OG0000119	CAB12340.1	ALU70621.1
OG0000120	CAB12541.1	ALU68446.1
OG0000120	CAB12386.1	ALU69190.1, ALU68940.1, ALU68866.1
OG0000121	CAB14590.1, CAB12388.2, CAB13097.1, CAB15228.1	ALU72803.1, ALU72421.1
OG0000122	CAB13828.2, CAB14334.1, CAB12637.1, CAB13333.1	ALU68260.1
