Orthogroup	Rhodococcus_erythropolis_aa	Deinococcus_radiodurans_aa
OG0000028	ALU73194.1, ALU67985.1, ALU68921.1, ALU71365.1, ALU70048.1, ALU73536.1, ALU68648.1, ALU73526.1, ALU68548.1, ALU69343.1, ALU68521.1	UDK99338.1
OG0000030	ALU71025.1, ALU68686.1, ALU69237.1, ALU68977.1, ALU68135.1, ALU72241.1, ALU68617.1, ALU68973.1, ALU71144.1, ALU71139.1, ALU70299.1	UDL01179.1
OG0000033	ALU73163.1, ALU73435.1	UDL00213.1, UDL00691.1, UDL01697.1, UDL00349.1
OG0000034	ALU68547.1	UDL01018.1
OG0000035	ALU71608.1	UDL01178.1
OG0000035	ALU68021.1, ALU72982.1	UDL01639.1
OG0000037	ALU71078.1, ALU68370.1	UDL01116.1, UDL01005.1, UDL00816.1, UDL00182.1, UDK99563.1, UDL01619.1, UDL00912.1
OG0000040	ALU68230.1, ALU73602.1, ALU70016.1	UDK99380.1
OG0000041	ALU68737.1, ALU68804.1, ALU72798.1, ALU68630.1, ALU71706.1, ALU68244.1, ALU72925.1	UDL00966.1
OG0000042	ALU71602.1, ALU72452.1	UDK99242.1
OG0000042	ALU72167.1	UDL01425.1
OG0000045	ALU70086.1, ALU71766.1, ALU72742.1	UDL02179.1, UDK99658.1, UDK99669.1
OG0000046	ALU69677.1, ALU70555.1, ALU70554.1, ALU69446.1	UDL00825.1, UDL00444.1
OG0000048	ALU69333.1, ALU68360.1	UDL00738.1, UDL00400.1
OG0000049	ALU70995.1, ALU70996.1	UDL01207.1, UDL02253.1, UDL02252.1
OG0000051	ALU68187.1, ALU70568.1, ALU68186.1, ALU70445.1, ALU71937.1	UDL01630.1, UDL01523.1, UDL00917.1, UDL00367.1
OG0000052	ALU67875.1, ALU71045.1	UDL01686.1
OG0000052	ALU68756.1, ALU72132.1	UDL02016.1
OG0000053	ALU68350.1, ALU71253.1, ALU72981.1, ALU72734.1	UDL00466.1
OG0000053	ALU68934.1	UDL00445.1
OG0000054	ALU70700.1, ALU72776.1, ALU72971.1, ALU72315.1, ALU73564.1, ALU67849.1, ALU68500.1	UDL01395.1
OG0000055	ALU70557.1	UDK99884.1
OG0000055	ALU72551.1	UDL00025.1
OG0000057	ALU70410.1, ALU68987.1, ALU71621.1, ALU73010.1, ALU72714.1, ALU69845.1, ALU69609.1, ALU69312.1, ALU69310.1	UDK99906.1
OG0000058	ALU70972.1, ALU67711.1, ALU68732.1, ALU69725.1, ALU69726.1, ALU68672.1, ALU67904.1, ALU68855.1, ALU69656.1	UDL01505.1
OG0000064	ALU70189.1, ALU71866.1	UDL01981.1
OG0000065	ALU68705.1, ALU71511.1	UDL00440.1, UDL00533.1, UDL00814.1
OG0000067	ALU71720.1, ALU70920.1	UDL00477.1
OG0000067	ALU69203.1	UDL01262.1, UDL00652.1
OG0000068	ALU70160.1, ALU69623.1, ALU68112.1, ALU69578.1, ALU71340.1, ALU69568.1	UDL00443.1
OG0000069	ALU73006.1, ALU71672.1, ALU70155.1, ALU69538.1, ALU69334.1, ALU68345.1, ALU73670.1	UDL01228.1
