Orthogroup	Rhodococcus_erythropolis_aa	Deinococcus_radiodurans_aa
OG0000545	ALU72869.1, ALU69227.1	UDK99258.1, UDL02204.1
OG0000546	ALU68926.1	UDK99402.1, UDK99676.1, UDL01295.1
OG0000549	ALU69191.1, ALU71652.1, ALU69641.1	UDK99598.1
OG0000550	ALU67742.1	UDK99627.1, UDL00298.1, UDL01013.1
OG0000551	ALU68152.1	UDK99782.1
OG0000551	ALU72207.1	UDL01561.1
OG0000552	ALU69369.1, ALU69368.1, ALU69367.1	UDK99803.1
OG0000553	ALU72698.1, ALU68129.1, ALU72354.1	UDK99892.1
OG0000555	ALU67691.1, ALU69072.1, ALU70876.1	UDL00376.1
OG0000556	ALU71217.1, ALU68716.1	UDL00446.1, UDL01133.1
OG0000557	ALU69063.1, ALU69417.1, ALU73025.1	UDL00465.1
OG0000558	ALU69956.1, ALU70906.1, ALU69431.1	UDL00763.1
OG0000559	ALU69763.1	UDL01549.1, UDL00974.1, UDL02160.1
OG0000560	ALU70282.1, ALU68101.1	UDL01062.1, UDL01069.1
OG0000561	ALU69401.1	UDL01094.1, UDL01934.1, UDL01269.1
OG0000562	ALU73170.1, ALU67646.1, ALU73165.1	UDL01248.1
OG0000563	ALU70776.1, ALU72642.1, ALU72417.1	UDL01300.1
OG0000564	ALU70935.1, ALU69787.1	UDL02216.1, UDL01347.1
OG0000565	ALU72744.1, ALU68459.1	UDL02015.1, UDL01380.1
OG0000566	ALU69886.1, ALU72559.1, ALU71599.1	UDL01657.1
OG0000568	ALU73667.1, ALU73658.1, ALU67776.1	UDL01988.1
OG0000569	ALU72516.1, ALU72314.1, ALU69701.1	UDL02026.1
OG0000571	ALU68182.1, ALU70868.1, ALU68181.1	UDL02081.1
OG0000633	ALU68213.1	UDK99218.1
OG0000634	ALU68212.1	UDK99217.1
OG0000635	ALU68148.1	UDL01700.1
OG0000636	ALU68210.1	UDL00224.1
OG0000637	ALU68204.1	UDL00973.1
OG0000638	ALU71956.1	UDL00941.1
OG0000639	ALU71180.1	UDL00481.1
OG0000640	ALU71174.1	UDL00480.1
OG0000641	ALU68028.1	UDL00399.1
OG0000644	ALU67867.1	UDL01430.1
OG0000645	ALU67853.1	UDK99399.1
OG0000646	ALU67852.1	UDK99398.1
OG0000648	ALU71744.1	UDK99319.1
OG0000649	ALU69813.1	UDK99814.1
OG0000651	ALU69815.1	UDL00539.1
OG0000652	ALU69816.1	UDK99347.1
OG0000653	ALU69822.1	UDL01708.1
OG0000654	ALU69830.1	UDL01596.1
OG0000655	ALU69872.1	UDK99971.1
OG0000656	ALU69871.1	UDL00560.1
OG0000657	ALU69857.1	UDL01391.1
OG0000658	ALU69881.1	UDL00626.1
OG0000659	ALU69882.1	UDL00315.1
OG0000660	ALU73156.1	UDL00491.1
OG0000661	ALU73145.1	UDK99645.1
OG0000663	ALU72781.1	UDK99955.1
OG0000665	ALU73152.1	UDK99369.1
OG0000666	ALU73151.1	UDK99370.1
OG0000667	ALU73139.1	UDK99561.1
OG0000668	ALU73097.1	UDL00241.1
OG0000669	ALU73094.1	UDL01595.1
OG0000670	ALU73093.1	UDK99430.1
OG0000671	ALU71563.1	UDK99667.1
OG0000672	ALU73092.1	UDL00750.1
OG0000673	ALU73091.1	UDK99916.1
OG0000674	ALU72158.1	UDL01089.1
OG0000675	ALU72157.1	UDL01088.1
OG0000676	ALU72156.1	UDL01087.1
OG0000677	ALU72154.1	UDL01086.1
OG0000678	ALU72153.1	UDL01085.1
OG0000679	ALU72141.1	UDL00065.1
OG0000680	ALU72140.1	UDL00064.1
OG0000681	ALU72113.1	UDK99500.1
OG0000682	ALU72112.1	UDK99501.1
OG0000683	ALU72111.1	UDK99502.1
OG0000684	ALU72110.1	UDK99504.1
OG0000685	ALU72028.1	UDK99505.1
OG0000686	ALU72027.1	UDK99506.1
OG0000687	ALU72026.1	UDK99507.1
OG0000688	ALU72025.1	UDK99508.1
OG0000689	ALU72024.1	UDK99509.1
OG0000690	ALU72023.1	UDK99510.1
OG0000691	ALU72022.1	UDK99511.1
OG0000692	ALU72021.1	UDK99512.1
OG0000693	ALU72020.1	UDL01641.1
OG0000694	ALU72019.1	UDK99513.1
OG0000695	ALU72018.1	UDK99514.1
OG0000696	ALU72017.1	UDK99515.1
OG0000697	ALU72016.1	UDK99516.1
OG0000698	ALU72015.1	UDK99517.1
OG0000699	ALU72013.1	UDL01145.1
OG0000700	ALU72012.1	UDL01146.1
OG0000701	ALU72011.1	UDL01147.1
OG0000702	ALU72010.1	UDL01148.1
OG0000703	ALU72009.1	UDL01149.1
OG0000704	ALU72008.1	UDL01150.1
OG0000705	ALU72007.1	UDL01151.1
OG0000706	ALU72006.1	UDL01152.1
OG0000707	ALU72004.1	UDL01752.1
OG0000708	ALU72003.1	UDL01158.1
OG0000709	ALU72002.1	UDL01159.1
OG0000710	ALU72001.1	UDL01160.1
OG0000711	ALU71999.1	UDL01162.1
OG0000712	ALU71998.1	UDL01163.1
OG0000713	ALU71301.1	UDL01480.1
OG0000714	ALU71302.1	UDL01479.1
OG0000715	ALU71997.1	UDL01312.1
OG0000716	ALU71985.1	UDK99374.1
OG0000717	ALU71984.1	UDK99375.1
OG0000718	ALU70020.1	UDL00143.1
OG0000720	ALU72757.1	UDL00450.1
OG0000721	ALU70464.1	UDL01984.1
OG0000722	ALU72662.1	UDL01982.1
OG0000723	ALU71983.1	UDL01109.1
OG0000728	ALU70905.1	UDL00235.1
OG0000734	ALU68395.1	UDL02033.1
OG0000736	ALU69959.1	UDL01383.1
OG0000737	ALU71624.1	UDL01971.1
OG0000738	ALU71100.1	UDK99944.1
OG0000747	ALU68744.1	UDK99674.1
OG0000748	ALU68092.1	UDL02050.1
OG0000750	ALU73081.1	UDL02044.1
OG0000751	ALU70545.1	UDL00721.1
OG0000753	ALU72050.1	UDL01529.1
OG0000754	ALU71551.1	UDK99551.1
OG0000755	ALU70585.1	UDK99936.1
OG0000766	ALU71973.1	UDL01369.1
OG0000767	ALU71972.1	UDK99924.1
OG0000768	ALU71971.1	UDL01445.1
OG0000769	ALU71970.1	UDK99570.1
OG0000770	ALU71629.1	UDL01565.1
OG0000771	ALU72232.1	UDL00085.1
OG0000772	ALU71966.1	UDK99786.1
OG0000773	ALU72348.1	UDK99787.1
OG0000774	ALU70458.1	UDK99899.1
OG0000777	ALU71951.1	UDL00938.1
OG0000778	ALU71771.1	UDK99239.1
OG0000779	ALU71772.1	UDK99240.1
OG0000780	ALU72833.1	UDK99426.1
OG0000781	ALU72820.1	UDK99424.1
OG0000782	ALU72819.1	UDK99423.1
OG0000783	ALU69362.1	UDK99422.1
OG0000784	ALU69366.1	UDK99420.1
OG0000785	ALU69370.1	UDL00505.1
OG0000786	ALU69760.1	UDL01070.1
OG0000787	ALU69761.1	UDL00027.1
OG0000789	ALU69752.1	UDL00844.1
OG0000790	ALU71587.1	UDL01107.1
OG0000791	ALU67660.1	UDK99979.1
OG0000792	ALU71584.1	UDL00398.1
OG0000793	ALU71583.1	UDL00922.1
OG0000794	ALU71577.1	UDL01553.1
OG0000801	ALU71761.1	UDK99881.1
OG0000802	ALU68805.1	UDL01720.1
OG0000805	ALU72726.1	UDL01328.1
OG0000806	ALU72476.1	UDL01329.1
OG0000808	ALU72485.1	UDL01586.1
OG0000809	ALU71533.1	UDL00077.1
OG0000813	ALU71443.1	UDL00448.1
OG0000814	ALU71292.1	UDL00430.1
OG0000815	ALU73111.1	UDL01307.1
OG0000816	ALU70283.1	UDL00010.1
OG0000817	ALU72386.1	UDL01948.1
OG0000819	ALU69779.1	UDL01144.1
OG0000820	ALU71895.1	UDK99431.1
OG0000822	ALU69586.1	UDL00987.1
OG0000824	ALU70357.1	UDK99232.1
OG0000825	ALU71236.1	UDL00283.1
OG0000826	ALU71203.1	UDL00269.1
OG0000827	ALU71016.1	UDL00267.1
OG0000828	ALU71202.1	UDL00266.1
OG0000829	ALU69052.1	UDL00588.1
OG0000830	ALU71300.1	UDL01481.1
OG0000834	ALU69948.1	UDL00980.1
OG0000835	ALU69949.1	UDL00981.1
OG0000838	ALU70570.1	UDL00021.1
OG0000840	ALU71032.1	UDL01195.1
OG0000842	ALU70808.1	UDL00108.1
OG0000843	ALU70809.1	UDL00782.1
OG0000844	ALU70810.1	UDL01455.1
OG0000845	ALU70812.1	UDK99291.1
OG0000846	ALU70467.1	UDL00993.1
OG0000847	ALU71878.1	UDK99738.1
OG0000850	ALU70321.1	UDL00147.1
OG0000852	ALU71128.1	UDL01273.1
OG0000853	ALU72392.1	UDL01945.1
OG0000854	ALU72387.1	UDL01944.1
OG0000855	ALU71017.1	UDL01016.1
OG0000862	ALU72873.1	UDL00909.1
OG0000864	ALU68824.1	UDL00935.1
OG0000865	ALU68697.1	UDL02010.1
OG0000867	ALU73458.1	UDK99764.1
OG0000868	ALU70356.1	UDL00893.1
OG0000869	ALU70367.1	UDL00892.1
OG0000871	ALU69786.1	UDK99911.1
OG0000875	ALU71630.1	UDL01598.1
OG0000876	ALU71275.1	UDL02201.1
OG0000877	ALU71276.1	UDL02200.1
OG0000880	ALU68259.1	UDL00125.1
OG0000881	ALU71232.1	UDL00780.1
OG0000882	ALU69984.1	UDL00328.1
OG0000885	ALU71542.1	UDK99821.1
OG0000886	ALU71541.1	UDK99820.1
OG0000888	ALU70580.1	UDL00930.1
OG0000889	ALU70587.1	UDL01503.1
OG0000890	ALU70589.1	UDK99804.1
OG0000891	ALU72269.1	UDK99806.1
OG0000893	ALU70592.1	UDK99809.1
OG0000894	ALU70593.1	UDL01015.1
OG0000895	ALU70594.1	UDL00482.1
OG0000896	ALU70600.1	UDL00451.1
OG0000898	ALU70607.1	UDL01407.1
OG0000899	ALU71093.1	UDL00246.1
OG0000900	ALU71092.1	UDL00245.1
OG0000901	ALU71091.1	UDL00242.1
OG0000902	ALU70881.1	UDK99683.1
OG0000903	ALU72477.1	UDK99631.1
OG0000905	ALU71084.1	UDL01311.1
OG0000906	ALU71082.1	UDK99760.1
OG0000907	ALU71080.1	UDL01597.1
OG0000908	ALU72382.1	UDL01447.1
OG0000909	ALU71075.1	UDL01448.1
OG0000910	ALU71074.1	UDL01198.1
OG0000911	ALU71487.1	UDL00082.1
OG0000912	ALU68183.1	UDL01519.1
OG0000913	ALU71072.1	UDL00512.1
OG0000914	ALU71545.1	UDK99578.1
OG0000915	ALU71466.1	UDK99566.1
OG0000916	ALU70468.1	UDL00994.1
OG0000917	ALU71537.1	UDL01303.1
OG0000918	ALU71532.1	UDL00572.1
OG0000919	ALU71531.1	UDL01283.1
OG0000920	ALU71527.1	UDL00902.1
OG0000921	ALU71525.1	UDL00414.1
OG0000922	ALU71524.1	UDL01054.1
OG0000923	ALU71523.1	UDL01055.1
OG0000924	ALU71522.1	UDL01056.1
OG0000925	ALU71512.1	UDK99923.1
OG0000926	ALU71510.1	UDL01001.1
OG0000927	ALU69755.1	UDL00371.1
OG0000928	ALU69756.1	UDL00372.1
OG0000929	ALU71502.1	UDK99326.1
OG0000931	ALU71495.1	UDL00611.1
OG0000932	ALU71494.1	UDL00610.1
OG0000933	ALU71493.1	UDL00609.1
OG0000934	ALU71492.1	UDL00608.1
OG0000935	ALU71491.1	UDL00607.1
OG0000936	ALU71485.1	UDL00606.1
OG0000937	ALU71484.1	UDL00605.1
OG0000938	ALU71408.1	UDL00865.1
OG0000939	ALU71407.1	UDL00866.1
OG0000940	ALU71402.1	UDL00059.1
OG0000941	ALU71397.1	UDL00442.1
OG0000942	ALU71394.1	UDL00153.1
OG0000943	ALU71393.1	UDK99533.1
OG0000944	ALU71392.1	UDL01101.1
OG0000945	ALU67827.1	UDL01053.1
OG0000947	ALU71306.1	UDL01357.1
OG0000948	ALU71293.1	UDL01359.1
OG0000949	ALU71287.1	UDL00284.1
OG0000950	ALU69570.1	UDL00148.1
OG0000951	ALU71283.1	UDL00769.1
OG0000952	ALU71280.1	UDK99343.1
OG0000953	ALU70493.1	UDK99635.1
OG0000956	ALU71047.1	UDL01279.1
OG0000957	ALU72205.1	UDL00420.1
OG0000958	ALU71024.1	UDL00798.1
OG0000961	ALU70202.1	UDL00285.1
OG0000964	ALU73159.1	UDK99376.1
OG0000967	ALU68819.1	UDL01991.1
OG0000974	ALU72609.1	UDL02036.1
OG0000977	ALU70052.1	UDK99483.1
OG0000979	ALU71400.1	UDK99315.1
OG0000983	ALU68450.1	UDK99686.1
OG0000984	ALU71196.1	UDL00493.1
OG0000985	ALU68058.1	UDL00915.1
OG0000986	ALU69925.1	UDL00943.1
OG0000987	ALU69722.1	UDL01623.1
OG0000988	ALU69723.1	UDL01621.1
OG0000989	ALU71572.1	UDL00268.1
OG0000990	ALU67736.1	UDK99276.1
OG0000991	ALU67764.1	UDK99485.1
OG0000992	ALU73146.1	UDK99889.1
OG0000993	ALU73147.1	UDL01689.1
OG0000994	ALU70491.1	UDL01606.1
OG0000995	ALU71778.1	UDL01360.1
OG0000996	ALU68234.1	UDL00323.1
OG0000997	ALU71729.1	UDL00231.1
OG0000998	ALU67914.1	UDL00258.1
OG0000999	ALU70753.1	UDL00088.1
OG0001000	ALU70752.1	UDL00087.1
OG0001001	ALU69355.1	UDK99328.1
OG0001002	ALU70551.1	UDL00840.1
OG0001003	ALU71099.1	UDK99945.1
OG0001004	ALU71101.1	UDK99943.1
OG0001005	ALU70351.1	UDL01506.1
OG0001006	ALU72165.1	UDL01679.1
OG0001007	ALU73154.1	UDK99252.1
OG0001008	ALU70839.1	UDL01330.1
OG0001009	ALU72915.1	UDL00222.1
OG0001010	ALU70780.1	UDL01031.1
OG0001011	ALU70838.1	UDL01542.1
OG0001012	ALU71567.1	UDL00411.1
OG0001013	ALU70836.1	UDL00926.1
OG0001014	ALU71068.1	UDK99357.1
OG0001015	ALU71069.1	UDK99356.1
OG0001016	ALU71070.1	UDK99355.1
OG0001017	ALU71071.1	UDK99354.1
OG0001018	ALU70434.1	UDL00024.1
OG0001019	ALU70832.1	UDL00152.1
OG0001021	ALU70366.1	UDL01221.1
OG0001022	ALU71779.1	UDL00435.1
OG0001023	ALU70257.1	UDL01066.1
OG0001024	ALU70149.1	UDK99358.1
OG0001026	ALU69210.1	UDL00203.1
OG0001027	ALU70828.1	UDL00578.1
OG0001028	ALU70813.1	UDK99910.1
OG0001029	ALU71214.1	UDL00576.1
OG0001030	ALU71094.1	UDL01105.1
OG0001031	ALU71095.1	UDK99325.1
OG0001032	ALU70339.1	UDK99946.1
OG0001033	ALU70872.1	UDL00877.1
OG0001035	ALU71155.1	UDL01555.1
OG0001036	ALU69793.1	UDL00881.1
OG0001037	ALU69393.1	UDL01933.1
OG0001038	ALU69392.1	UDL01932.1
OG0001039	ALU69391.1	UDL01931.1
OG0001040	ALU69390.1	UDL01930.1
OG0001041	ALU71483.1	UDK99574.1
OG0001042	ALU69946.1	UDL01194.1
OG0001043	ALU70482.1	UDK99318.1
OG0001044	ALU70446.1	UDK99781.1
OG0001045	ALU70431.1	UDK99982.1
OG0001046	ALU70414.1	UDK99824.1
OG0001047	ALU71842.1	UDL01208.1
OG0001048	ALU70412.1	UDL01128.1
OG0001049	ALU70411.1	UDL01035.1
OG0001050	ALU70406.1	UDL00617.1
OG0001052	ALU72520.1	UDK99334.1
OG0001053	ALU72519.1	UDK99333.1
OG0001054	ALU70384.1	UDL00279.1
OG0001055	ALU70378.1	UDL00429.1
OG0001056	ALU70376.1	UDL00920.1
OG0001057	ALU70375.1	UDL00921.1
OG0001058	ALU70371.1	UDL01570.1
OG0001059	ALU68211.1	UDL00683.1
OG0001060	ALU70623.1	UDL02115.1
OG0001063	ALU69605.1	UDL01339.1
OG0001065	ALU72697.1	UDL01785.1
OG0001070	ALU71105.1	UDL01550.1
OG0001071	ALU71107.1	UDL01322.1
OG0001072	ALU71589.1	UDL00834.1
OG0001073	ALU67905.1	UDL01130.1
OG0001074	ALU71108.1	UDL00958.1
OG0001075	ALU71112.1	UDL00461.1
OG0001076	ALU71154.1	UDL00463.1
OG0001077	ALU71158.1	UDL00904.1
OG0001078	ALU71161.1	UDL00889.1
OG0001079	ALU67898.1	UDL01778.1
OG0001080	ALU71164.1	UDK99776.1
OG0001081	ALU71165.1	UDL00397.1
OG0001082	ALU71167.1	UDL01546.1
OG0001083	ALU68037.1	UDL00281.1
OG0001084	ALU70355.1	UDK99295.1
OG0001085	ALU70354.1	UDK99296.1
OG0001086	ALU70353.1	UDK99297.1
OG0001087	ALU71781.1	UDL00336.1
OG0001088	ALU70348.1	UDK99349.1
OG0001089	ALU72228.1	UDL01190.1
OG0001090	ALU72230.1	UDL01370.1
OG0001091	ALU72231.1	UDL01773.1
OG0001092	ALU70335.1	UDL01021.1
OG0001093	ALU70332.1	UDL01000.1
OG0001094	ALU71559.1	UDL00847.1
OG0001096	ALU71568.1	UDL00616.1
OG0001097	ALU71570.1	UDL00614.1
OG0001098	ALU70274.1	UDK99379.1
OG0001099	ALU70273.1	UDL00676.1
OG0001100	ALU70315.1	UDL01320.1
OG0001101	ALU71846.1	UDL00096.1
OG0001102	ALU71066.1	UDL00468.1
OG0001103	ALU68225.1	UDL00090.1
OG0001104	ALU71593.1	UDL00115.1
OG0001105	ALU71594.1	UDL00116.1
OG0001106	ALU68272.1	UDK99651.1
OG0001107	ALU70801.1	UDL01373.1
OG0001108	ALU70800.1	UDL00159.1
OG0001109	ALU68506.1	UDK99843.1
OG0001111	ALU70799.1	UDL01049.1
OG0001112	ALU70798.1	UDL01050.1
OG0001113	ALU70797.1	UDL01123.1
OG0001114	ALU71268.1	UDK99298.1
OG0001117	ALU70782.1	UDL00952.1
OG0001118	ALU71536.1	UDK99675.1
OG0001119	ALU69186.1	UDK99925.1
OG0001120	ALU70759.1	UDL01626.1
OG0001121	ALU71578.1	UDK99813.1
OG0001122	ALU70611.1	UDK99689.1
OG0001123	ALU70815.1	UDK99850.1
OG0001124	ALU70814.1	UDK99846.1
OG0001125	ALU69789.1	UDL00412.1
OG0001126	ALU72400.1	UDL01593.1
OG0001127	ALU72000.1	UDL01161.1
OG0001128	ALU71247.1	UDK99996.1
OG0001129	ALU70590.1	UDK99805.1
OG0001130	ALU72786.1	UDL00759.1
OG0001132	ALU68247.1	UDL01204.1
OG0001133	ALU68581.1	UDL00427.1
OG0001138	ALU71081.1	UDK99818.1
OG0001140	ALU68216.1	UDL01180.1
OG0001142	ALU68268.1	UDL01305.1
OG0001143	ALU68267.1	UDL01306.1
OG0001144	ALU70264.1	UDL01225.1
OG0001145	ALU70262.1	UDL00914.1
OG0001147	ALU70890.1	UDK99638.1
OG0001148	ALU69749.1	UDL00819.1
OG0001149	ALU72371.1	UDL00037.1
OG0001150	ALU72372.1	UDL00039.1
OG0001151	ALU72373.1	UDL00040.1
OG0001152	ALU72376.1	UDL00043.1
OG0001153	ALU70267.1	UDL02034.1
OG0001154	ALU72988.1	UDL00955.1
OG0001156	ALU70529.1	UDK99888.1
OG0001157	ALU70539.1	UDK99624.1
OG0001159	ALU70232.1	UDL01409.1
OG0001160	ALU70230.1	UDL00401.1
OG0001161	ALU70524.1	UDK99933.1
OG0001162	ALU72874.1	UDL00287.1
OG0001164	ALU71795.1	UDL00296.1
OG0001165	ALU68923.1	UDL01784.1
OG0001166	ALU68326.1	UDL01904.1
OG0001167	ALU71037.1	UDL01141.1
OG0001168	ALU71035.1	UDL01142.1
OG0001169	ALU69144.1	UDL00471.1
OG0001170	ALU69145.1	UDL00470.1
OG0001171	ALU70867.1	UDL00879.1
OG0001172	ALU71121.1	UDL02012.1
OG0001173	ALU69940.1	UDL01617.1
OG0001174	ALU71664.1	UDL00651.1
OG0001175	ALU70250.1	UDL00723.1
OG0001177	ALU69120.1	UDK99474.1
OG0001178	ALU69523.1	UDL01941.1
OG0001179	ALU70399.1	UDL01793.1
OG0001180	ALU69785.1	UDL01387.1
OG0001181	ALU69823.1	UDL01464.1
OG0001182	ALU69825.1	UDL01463.1
OG0001183	ALU71655.1	UDL00569.1
OG0001185	ALU70040.1	UDL01363.1
OG0001186	ALU71308.1	UDK99855.1
OG0001187	ALU69898.1	UDL01627.1
OG0001188	ALU71060.1	UDL00454.1
OG0001189	ALU71061.1	UDL00457.1
OG0001190	ALU71062.1	UDL00458.1
OG0001191	ALU68966.1	UDL00970.1
OG0001192	ALU68965.1	UDL00969.1
OG0001193	ALU68964.1	UDL00968.1
OG0001194	ALU69483.1	UDL01788.1
OG0001195	ALU69484.1	UDL01787.1
OG0001198	ALU68307.1	UDL01020.1
OG0001200	ALU71064.1	UDL00541.1
OG0001201	ALU71065.1	UDL00540.1
OG0001202	ALU68226.1	UDL01030.1
OG0001203	ALU70703.1	UDK99904.1
OG0001204	ALU70699.1	UDK99903.1
OG0001205	ALU70697.1	UDL01502.1
OG0001206	ALU70695.1	UDK99612.1
OG0001207	ALU70692.1	UDK99610.1
OG0001208	ALU70690.1	UDL01172.1
OG0001209	ALU70908.1	UDL00551.1
OG0001211	ALU70754.1	UDK99970.1
OG0001212	ALU70975.1	UDL02197.1
OG0001213	ALU70792.1	UDL00843.1
OG0001214	ALU70784.1	UDL01297.1
OG0001215	ALU69069.1	UDL00513.1
OG0001217	ALU71656.1	UDL01709.1
OG0001218	ALU71657.1	UDL01710.1
OG0001219	ALU71660.1	UDK99373.1
OG0001220	ALU71739.1	UDL00218.1
OG0001221	ALU71740.1	UDL00502.1
OG0001222	ALU69757.1	UDL01232.1
OG0001223	ALU70239.1	UDL00654.1
OG0001224	ALU72547.1	UDL00729.1
OG0001225	ALU72171.1	UDL01574.1
OG0001229	ALU69790.1	UDL01438.1
OG0001230	ALU70072.1	UDL01680.1
OG0001231	ALU71529.1	UDL01664.1
OG0001232	ALU69396.1	UDL02066.1
OG0001233	ALU71627.1	UDK99463.1
OG0001236	ALU70235.1	UDL00121.1
OG0001237	ALU70234.1	UDK99988.1
OG0001238	ALU70233.1	UDL00453.1
OG0001239	ALU69941.1	UDL01058.1
OG0001240	ALU71048.1	UDL00452.1
OG0001241	ALU70831.1	UDL00663.1
OG0001242	ALU72534.1	UDL01562.1
OG0001243	ALU71521.1	UDK99959.1
OG0001244	ALU70228.1	UDL01563.1
OG0001245	ALU67673.1	UDL01922.1
OG0001246	ALU69011.1	UDL00191.1
OG0001247	ALU72446.1	UDL00129.1
OG0001248	ALU68856.1	UDL02009.1
OG0001250	ALU71201.1	UDL00582.1
OG0001252	ALU67975.1	UDL01821.1
OG0001253	ALU67976.1	UDL01822.1
OG0001255	ALU71547.1	UDK99861.1
OG0001256	ALU72572.1	UDL01408.1
OG0001257	ALU69666.1	UDK99661.1
OG0001258	ALU73124.1	UDK99833.1
OG0001259	ALU72389.1	UDL02074.1
OG0001261	ALU71976.1	UDL00623.1
OG0001262	ALU68494.1	UDL02023.1
OG0001263	ALU69100.1	UDL01920.1
OG0001264	ALU69096.1	UDL01924.1
OG0001265	ALU69095.1	UDL01921.1
OG0001266	ALU71841.1	UDK99628.1
OG0001267	ALU72277.1	UDL00335.1
OG0001268	ALU69585.1	UDL00988.1
OG0001269	ALU72444.1	UDK99251.1
OG0001270	ALU68386.1	UDK99730.1
OG0001271	ALU71705.1	UDK99456.1
OG0001272	ALU68385.1	UDK99311.1
OG0001273	ALU69406.1	UDL01647.1
OG0001274	ALU71586.1	UDL01374.1
OG0001275	ALU68382.1	UDK99309.1
OG0001276	ALU69955.1	UDL00499.1
OG0001277	ALU68222.1	UDK99228.1
OG0001278	ALU68220.1	UDK99230.1
OG0001279	ALU68218.1	UDK99444.1
OG0001280	ALU68214.1	UDL01182.1
OG0001284	ALU69336.1	UDL01465.1
OG0001290	ALU68877.1, ALU68715.1	UDK99387.1
OG0001293	ALU67978.1	UDK99521.1, UDK99913.1
OG0001294	ALU70914.1	UDL01756.1, UDK99557.1
OG0001296	ALU69852.1, ALU69577.1	UDK99677.1
OG0001297	ALU72737.1, ALU68231.1	UDK99680.1
OG0001299	ALU68861.1	UDK99926.1, UDK99722.1
OG0001300	ALU72892.1	UDL00199.1, UDK99772.1
OG0001303	ALU68278.1	UDK99858.1, UDL02269.1
OG0001304	ALU71192.1, ALU73054.1	UDK99927.1
OG0001305	ALU69590.1	UDL01435.1, UDK99948.1
OG0001307	ALU71885.1, ALU69066.1	UDL00030.1
OG0001308	ALU68960.1, ALU68739.1	UDL00078.1
OG0001309	ALU73609.1, ALU71309.1	UDL00206.1
OG0001310	ALU71490.1	UDL00236.1, UDL00220.1
OG0001311	ALU72623.1, ALU68412.1	UDL00250.1
OG0001312	ALU73327.1, ALU72713.1	UDL00278.1
OG0001313	ALU72462.1, ALU72461.1	UDL00301.1
OG0001314	ALU72603.1, ALU72034.1	UDL00351.1
OG0001316	ALU67838.1, ALU69411.1	UDL00396.1
OG0001317	ALU69108.1, ALU72337.1	UDL00460.1
OG0001318	ALU69554.1, ALU73359.1	UDL00517.1
OG0001319	ALU68312.1, ALU70027.1	UDL00544.1
OG0001320	ALU72046.1, ALU72637.1	UDL00636.1
OG0001321	ALU70359.1, ALU67934.1	UDL00778.1
OG0001322	ALU69775.1	UDL00801.1, UDL01060.1
OG0001323	ALU71221.1, ALU71222.1	UDL00828.1
OG0001324	ALU71223.1, ALU70161.1	UDL00910.1
OG0001325	ALU72092.1, ALU72093.1	UDL00944.1
OG0001327	ALU67860.1, ALU70678.1	UDL01218.1
OG0001328	ALU70142.1, ALU68159.1	UDL01386.1
OG0001329	ALU73575.1, ALU70170.1	UDL01508.1
OG0001330	ALU72597.1, ALU71877.1	UDL01600.1
OG0001331	ALU68330.1, ALU68444.1	UDL01806.1
OG0001332	ALU68482.1, ALU73042.1	UDL01899.1
OG0001333	ALU73595.1, ALU72703.1	UDL02008.1
OG0001334	ALU68122.1, ALU69089.1	UDL02041.1
OG0001336	ALU68169.1, ALU68662.1	UDL02107.1
OG0001337	ALU72172.1, ALU68564.1	UDL02154.1
OG0001338	ALU73557.1, ALU73508.1	UDL02226.1
OG0001955	ALU72333.1	UDK99227.1
OG0001956	ALU70488.1	UDK99236.1
OG0001957	ALU70176.1	UDK99270.1
OG0001958	ALU70181.1	UDK99288.1
OG0001959	ALU70915.1	UDK99290.1
OG0001960	ALU70576.1	UDK99304.1
OG0001961	ALU69560.1	UDK99320.1
OG0001962	ALU73161.1	UDK99321.1
OG0001963	ALU72289.1	UDK99337.1
OG0001964	ALU73016.1	UDK99353.1
OG0001965	ALU73757.1	UDK99386.1
OG0001966	ALU69163.1	UDK99392.1
OG0001967	ALU69407.1	UDK99401.1
OG0001970	ALU71787.1	UDK99416.1
OG0001971	ALU71786.1	UDK99417.1
OG0001972	ALU69217.1	UDK99434.1
OG0001974	ALU71238.1	UDK99440.1
OG0001975	ALU70471.1	UDK99453.1
OG0001977	ALU69700.1	UDK99478.1
OG0001978	ALU71639.1	UDK99499.1
OG0001979	ALU71152.1	UDK99519.1
OG0001980	ALU69215.1	UDK99528.1
OG0001981	ALU70680.1	UDK99543.1
OG0001982	ALU68240.1	UDK99547.1
OG0001983	ALU69374.1	UDK99548.1
OG0001985	ALU69992.1	UDK99555.1
OG0001986	ALU69205.1	UDK99567.1
OG0001988	ALU71962.1	UDK99586.1
OG0001989	ALU71000.1	UDK99589.1
OG0001990	ALU70504.1	UDK99596.1
OG0001991	ALU68265.1	UDK99597.1
OG0001993	ALU71267.1	UDK99605.1
OG0001994	ALU69287.1	UDK99607.1
OG0001996	ALU69858.1	UDK99613.1
OG0001998	ALU71508.1	UDK99616.1
OG0002000	ALU71166.1	UDK99625.1
OG0002001	ALU71880.1	UDK99637.1
OG0002002	ALU70635.1	UDK99647.1
OG0002003	ALU70618.1	UDK99648.1
OG0002005	ALU70083.1	UDK99665.1
OG0002006	ALU68528.1	UDK99673.1
OG0002007	ALU72431.1	UDK99678.1
OG0002010	ALU68380.1	UDK99784.1
